tsp,pop_size,generations,p_crossover,p_mutation,hof_size,runs,best_distance_mean,best_distance_std,time_sec_mean,time_sec_std
att48,300,300,0.6,0.1,1,1,36193.812500,0.000000,1.846,0.000
att48,300,300,0.6,0.25,1,1,37637.136719,0.000000,1.966,0.000
att48,300,300,0.9,0.1,1,1,36910.703125,0.000000,2.909,0.000
att48,300,300,0.9,0.25,1,1,44789.480469,0.000000,2.556,0.000
att48,300,600,0.6,0.1,1,1,35994.910156,0.000000,3.610,0.000
att48,300,600,0.6,0.25,1,1,37144.238281,0.000000,3.824,0.000
att48,300,600,0.9,0.1,1,1,36451.707031,0.000000,4.509,0.000
att48,300,600,0.9,0.25,1,1,38848.382812,0.000000,4.685,0.000
att48,800,300,0.6,0.1,1,1,34991.023438,0.000000,4.973,0.000
att48,800,300,0.6,0.25,1,1,35729.140625,0.000000,5.971,0.000
att48,800,300,0.9,0.1,1,1,34716.429688,0.000000,6.446,0.000
att48,800,300,0.9,0.25,1,1,41611.652344,0.000000,8.049,0.000
att48,800,600,0.6,0.1,1,1,34796.722656,0.000000,14.226,0.000
att48,800,600,0.6,0.25,1,1,35729.140625,0.000000,13.915,0.000
att48,800,600,0.9,0.1,1,1,34716.429688,0.000000,17.315,0.000
att48,800,600,0.9,0.25,1,1,34376.285156,0.000000,17.750,0.000
